Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
19-Nov-24,EQ,"1,470.00","1,509.00","1,425.00","1,454.85","1,430.25","1,442.00","1,468.62","2,095.00","1,425.00","1,11,298","16,34,54,865.25","14,485"
18-Nov-24,EQ,"1,480.00","1,493.80","1,437.15","1,454.05","1,455.00","1,454.85","1,457.81","2,095.00","1,437.15","79,920","11,65,07,968.85","12,702"
14-Nov-24,EQ,"1,473.95","1,490.20","1,450.00","1,468.30","1,456.00","1,454.05","1,466.01","2,095.00","1,450.00","82,643","12,11,55,608.50","11,302"
13-Nov-24,EQ,"1,512.50","1,513.60","1,464.00","1,530.50","1,469.00","1,468.30","1,484.98","2,095.00","1,456.85","1,03,784","15,41,17,302.90","15,410"
12-Nov-24,EQ,"1,549.15","1,560.00","1,456.85","1,549.15","1,511.10","1,530.50","1,496.73","2,095.00","1,456.85","4,73,666","70,89,48,479.50","34,429"
11-Nov-24,EQ,"1,567.55","1,573.60","1,540.00","1,567.55","1,546.00","1,549.15","1,552.87","2,095.00","1,470.00","77,179","11,98,48,924.70","9,619"
08-Nov-24,EQ,"1,630.00","1,630.00","1,557.00","1,612.00","1,565.00","1,567.55","1,585.21","2,095.00","1,470.00","74,447","11,80,13,874.20","10,604"
07-Nov-24,EQ,"1,647.10","1,647.10","1,605.00","1,631.15","1,608.00","1,612.00","1,626.50","2,095.00","1,470.00","50,067","8,14,34,084.80","6,474"
06-Nov-24,EQ,"1,602.85","1,638.05","1,593.05","1,591.35","1,635.00","1,631.15","1,621.42","2,095.00","1,470.00","80,772","13,09,65,557.70","10,582"
05-Nov-24,EQ,"1,589.95","1,605.95","1,574.95","1,590.65","1,593.95","1,591.35","1,590.89","2,095.00","1,470.00","52,700","8,38,39,647.60","8,853"
04-Nov-24,EQ,"1,630.10","1,635.15","1,575.80","1,631.10","1,585.00","1,590.65","1,592.64","2,095.00","1,470.00","69,880","11,12,93,587.10","9,902"
01-Nov-24,EQ,"1,624.45","1,644.00","1,620.00","1,617.50","1,628.40","1,631.10","1,632.48","2,095.00","1,470.00","26,373","4,30,53,280.15","4,266"
31-Oct-24,EQ,"1,584.15","1,626.50","1,548.00","1,585.15","1,614.00","1,617.50","1,585.72","2,095.00","1,470.00","1,31,637","20,87,38,858.60","17,359"
30-Oct-24,EQ,"1,560.00","1,616.00","1,541.35","1,516.15","1,580.00","1,585.15","1,593.72","2,095.00","1,470.00","5,60,575","89,33,97,831.15","53,110"
29-Oct-24,EQ,"1,520.30","1,547.45","1,502.00","1,506.65","1,516.00","1,516.15","1,518.16","2,095.00","1,470.00","1,31,987","20,03,77,415.40","17,494"
28-Oct-24,EQ,"1,570.00","1,590.00","1,470.00","1,571.20","1,508.80","1,506.65","1,526.04","2,095.00","1,470.00","5,82,486","88,88,98,718.65","76,365"
25-Oct-24,EQ,"1,634.40","1,641.80","1,556.30","1,629.40","1,585.00","1,571.20","1,582.35","2,095.00","1,556.30","1,39,283","22,03,94,931.20","19,585"
24-Oct-24,EQ,"1,664.00","1,667.95","1,621.25","1,654.65","1,635.00","1,629.40","1,642.00","2,095.00","1,621.25","80,427","13,20,61,260.05","10,743"
23-Oct-24,EQ,"1,685.00","1,697.80","1,640.35","1,674.35","1,650.00","1,654.65","1,664.84","2,095.00","1,640.35","1,22,764","20,43,82,220.55","16,353"
22-Oct-24,EQ,"1,754.00","1,754.35","1,668.30","1,745.60","1,684.00","1,674.35","1,694.49","2,095.00","1,668.30","1,32,006","22,36,82,252.40","15,543"
21-Oct-24,EQ,"1,752.10","1,784.70","1,740.00","1,710.50","1,744.60","1,745.60","1,757.53","2,095.00","1,675.10","2,03,369","35,74,27,554.65","23,266"
18-Oct-24,EQ,"1,696.00","1,724.55","1,675.10","1,704.90","1,715.00","1,710.50","1,700.05","2,095.00","1,675.10","1,06,627","18,12,71,253.05","12,768"
17-Oct-24,EQ,"1,749.00","1,749.90","1,700.00","1,747.20","1,705.00","1,704.90","1,720.13","2,095.00","1,695.60","71,863","12,36,13,612.60","10,735"
16-Oct-24,EQ,"1,769.05","1,785.00","1,740.00","1,773.95","1,744.00","1,747.20","1,763.15","2,095.00","1,695.60","62,423","11,00,61,053.75","6,909"
15-Oct-24,EQ,"1,780.00","1,794.95","1,765.85","1,783.80","1,770.05","1,773.95","1,778.33","2,158.00","1,695.60","53,266","9,47,24,592.60","7,060"
14-Oct-24,EQ,"1,783.00","1,789.95","1,760.05","1,774.55","1,784.00","1,783.80","1,777.77","2,158.00","1,695.60","74,513","13,24,66,963.80","7,682"
